0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;;
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;13;0.433333333
2;1;2;1;1;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;14;0.466666667
2;1;2;1;1;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;14;0.466666667
2;1;2;1;1;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;14;0.466666667
2;1;2;1;1;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;14;0.466666667
2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;15;0.5
2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;15;0.5
2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;15;0.5
2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;15;0.5
2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;15;0.5
2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;16;0.533333333
2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;16;0.533333333
2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;16;0.533333333
2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;16;0.533333333
2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;16;0.533333333
2;1;2;1;1;1;1;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;15;0.5
2;1;2;1;1;1;1;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;15;0.5
2;1;2;1;1;1;1;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;15;0.5
2;1;2;1;1;1;1;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;15;0.5
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;14;0.466666667
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;1;1;2;1;1;2;2;14;0.466666667
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;1;2;2;1;1;2;2;13;0.433333333
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;1;2;2;1;1;2;2;13;0.433333333
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;2;1;1;2;2;14;0.466666667
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;2;1;1;1;2;15;0.5
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;2;1;1;1;2;15;0.5
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;16;0.533333333
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;16;0.533333333
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;16;0.533333333
2;1;2;1;1;1;2;2;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;16;0.533333333
2;1;2;1;1;1;2;2;1;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;17;0.566666667
2;1;2;1;1;1;2;2;1;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;17;0.566666667
2;1;2;1;1;1;2;2;1;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;17;0.566666667
2;1;2;1;1;1;2;2;1;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;17;0.566666667
1;1;2;1;1;1;2;2;1;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;18;0.6
1;1;2;1;1;1;2;2;1;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;18;0.6
1;1;2;1;1;1;2;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;19;0.633333333
1;1;2;1;1;1;2;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;19;0.633333333
1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;2;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;19;0.633333333
1;1;2;1;2;1;1;2;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;2;1;1;2;1;1;1;1;1;1;2;2;2;1;1;2;1;2;2;1;1;2;1;1;1;2;19;0.633333333
1;1;2;1;2;1;1;2;1;1;1;1;1;1;2;2;2;1;1;2;1;2;2;1;1;2;1;1;1;2;19;0.633333333
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;1;1;2;1;1;1;2;20;0.666666667
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;1;1;2;1;1;1;2;19;0.633333333
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;1;1;2;1;1;1;2;19;0.633333333
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;1;1;2;1;1;1;1;20;0.666666667
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;1;1;2;1;1;1;1;20;0.666666667
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;1;1;21;0.7
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;1;1;21;0.7
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;1;1;21;0.7
1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;1;1;21;0.7
1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;1;1;22;0.733333333
1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;22;0.733333333
1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;2;1;1;2;1;22;0.733333333
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;2;1;1;2;1;21;0.7
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;1;1;2;1;22;0.733333333
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;1;1;2;1;22;0.733333333
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;1;1;2;1;22;0.733333333
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;21;0.7
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;21;0.7
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;21;0.7
1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;21;0.7
1;1;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;20;0.666666667
1;1;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;20;0.666666667
1;1;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;20;0.666666667
1;1;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;20;0.666666667
1;1;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;20;0.666666667
1;1;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;20;0.666666667
1;1;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;20;0.666666667
1;1;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;20;0.666666667
1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;21;0.7
1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;21;0.7
1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;21;0.7
1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;2;1;1;1;2;1;1;1;1;2;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;19;0.633333333
1;1;1;2;2;1;1;1;2;1;1;1;1;2;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;19;0.633333333
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;2;1;2;1;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;2;1;2;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;2;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;2;2;1;2;2;1;2;1;20;0.666666667
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;2;2;1;2;2;1;1;1;21;0.7
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;22;0.733333333
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;22;0.733333333
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;22;0.733333333
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;22;0.733333333
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;22;0.733333333
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;22;0.733333333
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;22;0.733333333
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;22;0.733333333
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;22;0.733333333
1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;22;0.733333333
1;1;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;21;0.7
1;1;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;21;0.7
1;1;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;21;0.7
1;1;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;21;0.7
1;1;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;21;0.7
1;1;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;1;21;0.7
